slug,name,chem_class,frac_irac
1-dodekanol,1-додеканол,,
1-metiltsiklopropen,1-метилциклопропен,,
1-naftiluksusnaya-kislota,1-нафтилуксусная кислота,,
1-tetradekanol,1-тетрадеканол,,
1-hlormetilsilatran,1-хлорметилсилатран,,
1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,,
2-4-d,"2,4-Д",,
2-furana,2- фурана,,
2-hloretilfosfonovaya-kislota,2-хлорэтилфосфоновая кислота,,
24-epibrassinolid,24-эпибрассинолид,,
28-gomobrassinolid,28-гомобрассинолид,,
3-8-11-tetradekatrien-1-il-atsetata,"3,8,11-тетрадекатриен-1-ил-ацетата",,
3-indoliluksusnaya-kislota,3-индолилуксусная кислота,,
3-indoliluksusnaya-kislota-kalievoy-soli,3-индолилуксусная кислота калиевой соли,,
4-maslyanaya-kislota,4 масляная кислота,,
4-hlorfenoksiuksusnaya-kislota,4-хлорфеноксиуксусная кислота,,
6-mg-dispenser-3-8-tetradekadien-1-il-atsetata,"6 мг/диспенсер -3,8-тетрадекадиен –1- ил-ацетата",,
6-benziladenin,6-бензиладенин,,
6-benzilaminopurin,6-бензиламинопурин,,
6-furfurilaminopurin,6-фурфуриламинопурин,,
7-9-dodekadien-1-il-atsetat,"7,9-додекадиен-1-ил-ацетат",,
7-metoksi-8-izopentenilkumarina,7-метокси-8-изопентенилкумарина,,
acremonium-lichenicola,Acremonium lichenicola,,
bacillus-amyloliquefaciens,Bacillus amyloliquefaciens,,
bacillus-firmus,Bacillus firmus,,
bacillus-mojavensis,Bacillus mojavensis,,
bacillus-subtilis,Bacillus subtilis,,
bacillus-thuringiensis,Bacillus thuringiensis,,
bacillus-thuringiensissubsp,Bacillus thuringiensissubsp,,
bacillus-thuringiensisvar,Bacillus thuringiensisvar,,
beauveria-bassiana,Beauveria bassiana,,
f7,F7,,
l-alanin,L-аланин,,
l-arginin,L-аргинин,,
l-glutaminovaya-kislota,L-глутаминовая кислота,,
l-leytsin,L-лейцин,,
l-prolin,L-пролин,,
lactobacillus-plantarum,Lactobacillus plantarum,,
lecanicillium-lecanii,Lecanicillium lecanii,,
metarhizium-anisopliae,Metarhizium anisopliae,,
methylobacteriumextorquensnvdbkmb-2879-d,Methylobacteriumextorquensnvdbkmb-2879 d,,
n-n-fenilmocheviny,N--n′-фенилмочевины,,
pseudomonas-asplenii,Pseudomonas asplenii,,
pseudomonas-aureofaciens,Pseudomonas aureofaciens,,
pseudomonas-fluorescens,Pseudomonas fluorescens,,
streptomyces-rimosus,Streptomyces rimosus,,
streptomyces-sp,Streptomyces sp,,
trichoderma-afroharzianum,Trichoderma afroharzianum,,
trichoderma-asperellum,Trichoderma asperellum,,
trichoderma-asperellum-m18-shtamm-vkpm-f-1395,Trichoderma asperellum м18 штамм вкпм f-1395,,
trichoderma-atroviride,Trichoderma atroviride,,
trichoderma-harzianum,Trichoderma harzianum,,
trichoderma-longibrachiatum,Trichoderma longibrachiatum,,
trichoderma-reesei,Trichoderma reesei,,
trichoderma-veride,Trichoderma veride,,
trichoderma-viride,Trichoderma viride,,
z-8-dodetsenil-atsetat,Z-8-додеценил ацетат,,
z-8-dodetsenol,Z-8-додеценол,,
alanin,Α-аланин,,
glutaminovaya-kislota,Α-глутаминовая кислота,,
a7,А7,,
alliumsativum,Аlliumsativum,,
abamektin,Абамектин,,
aversektin-s,Аверсектин с,,
azadirahtin,Азадирахтин,,
azimsulfuron,Азимсульфурон,,
azoksistrobin,Азоксистробин,,
azoksistrobina,Азоксистробина,,
aklonifen,Аклонифен,,
alanin-2,Аланин,,
alfa-naftiluksusnaya-kislota,Альфа-нафтилуксусная кислота,,
alfa-tsipermetrin,Альфа-ципермeтрин,,
alfa-tsipermetrin-2,Альфа-циперметрин,,
alyuminiya-fosfid,Алюминия фосфид,,
alyuminiya-fosetil,Алюминия фосэтил,,
ametoktradin,Аметоктрадин,,
amidosulfuron,Амидосульфурон,,
amikarbazon,Амикарбазон,,
aminopiralid,Аминопиралид,,
ammoniy-dimetilfosfornokislyy-dimetildi,Аммоний диметилфосфорнокислый диметилди,,
ammoniy-molibdenovokislyy,Аммоний молибденовокислый,,
arahidonovaya-kislota,Арахидоновая кислота,,
atsetamiprid,Ацетамиприд,,
atsibenzolar-s-metil,Ацибензолар-с-метил,,
atsifluorfen,Ацифлуорфен,,
benziladenina,Бензиладенина,,
benzovindiflupir,Бензовиндифлупир,,
benzoynaya-kislota,Бензойная кислота,,
benomil,Беномил,,
benomil-agro-kemi-kft,Беномил) агро-кеми кфт.,,
bensulfuron-metil,Бенсульфурон-метил,,
bentazon,Бентазон,,
beta-tsipermetrin,Бета-циперметрин,,
beta-tsipermetrin-agro-kemi-kft,Бета-циперметрин) агро-кеми кфт.,,
beta-tsiflutrin,Бета-цифлутрин,,
biksafen,Биксафен,,
bioaktivator,Биоактиватор,,
bispiribak-natriya,Биспирибак натрия,,
bifentrin,Бифентрин,,
bifentrina,Бифентрина,,
boskalid,Боскалид,,
brassinon,Брассинон,,
brodifakum,Бродифакум,,
bromadiolon,Бромадиолон,,
bromoksinil,Бромоксинил,,
buprofezin,Бупрофезин,,
vazelinovoe-maslo,Вазелиновое масло,,
validamitsinstreptomyces-hygroscopicussubsp-limoneus-vkpmas-,"Валидамицинstreptomyces hygroscopicussubsp, «limoneus» вкпмас-1966",,
virus-granuleza-yablonnoy-plodozhorki,Вирус гранулеза яблонной плодожорки,,
virus-yadernogo-poliedroza-hlopkovoy-sovki,Вирус ядерного полиэдроза хлопковой совки,,
vodorastvorimye-veschestva-poluchaemye-pri-perolize-drevesin,"Водорастворимые вещества, получаемые при перолизе древесины",,
g-kg-klotianidin,Г/кг клотианидин,,
g-kg-nikosulfuron,Г/кг никосульфурон,,
g-kg-rimsulfuron,Г/кг римсульфурон,,
g-kg-tribenuron-metil,Г/кг трибенурон-метил,,
g-kg-florasulama,Г/кг флорасулама,,
g-l-antidot-klokvintoset-meksil,Г/л антидот -клоквинтосет-мексил,,
g-l-boskalid,Г/л боскалид,,
g-l-desmedifama,Г/л десмедифама,,
g-l-imazamoks-sinokem-agro-ko-ltd,"Г/л имазамокс) синокем агро ко., лтд",,
g-l-karbendazim,Г/л карбендазим,,
g-l-lyambda-tsigalotrin,Г/л лямбда-цигалотрин,,
g-l-pinoksaden,Г/л пиноксаден,,
g-l-piraklostrobin,Г/л пираклостробин,,
g-l-propikonazol,Г/л пропиконазол,,
g-l-protiokonazol,Г/л протиоконазол,,
g-l-tebukonazol,Г/л тебуконазол,,
g-l-fenmedifama,Г/л фенмедифама,,
g-l-fenoksaprop-p-etil,Г/л феноксапроп-п-этил,,
g-l-fludioksanil,Г/л флудиоксанил,,
g-l-fludioksonil,Г/л флудиоксонил,,
g-l-hizalofop-p-etil,Г/л хизалофоп-п-этил,,
g-l-hlorantraniliprol,Г/л хлорантранилипрол,,
g-l-tsiprokonazol,Г/л ципроконазол,,
galoksifop-p-metil,Галоксифоп-п-метил,,
galoksifop-r-metil,Галоксифоп-р-метил,,
gamma-tsigalotrin,Гамма-цигалотрин,,
geksitiazoks,Гекситиазокс,,
gibberellinovaya-kislota-a3,Гиббереллиновая кислота а3,,
gibberellinovaya-kislota-a4,Гиббереллиновая кислота а4,,
gibberellinovye-kisloty-a4,Гиббереллиновые кислоты а4,,
gibberellinovye-kisloty-a4-a7,"Гиббереллиновые кислоты а4, а7",,
gibberellinovyh-kislot-natrievye-soli,Гиббереллиновых кислот натриевые соли,,
gidroksikorichnaya-kislota,Гидроксикоричная кислота,,
gimeksazol,Гимексазол,,
glifosat,Глифосат,,
glutaminovaya-kislota-2,Глутаминовая кислота,,
glyufosinat-ammoniy,Глюфосинат аммоний,,
gribov-trichoderma-veride-shtamm-471,"Грибов trichoderma veride, штамм 471",,
guminovye-kisloty,Гуминовые кислоты,,
guminovye-kisloty-natrievyh-soley,Гуминовые кислоты натриевых солей,,
guminovyh-kislot-kalievye-soli,Гуминовых кислот калиевые соли,,
daminozid,Даминозид,,
deltametrin,Дельтаметрин,,
desmedifam,Десмедифам,,
desmedifam-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"Десмедифам) чжангсу гуд харвест вейн агрокемикал ко., лтд.",,
desmedifama,Десмедифама,,
diazinon,Диазинон,,
digidrokvertsetin,Дигидрокверцетин,,
dikamba,Дикамба,,
dikvat,Дикват,,
dikvat-dibromida,Дикват дибромида,,
dikvata-dibromida,Диквата дибромида,,
diklosulam,Диклосулам,,
dimetenamid-r,Диметенамид-р,,
dimetoat,Диметоат,,
dimetomorf,Диметоморф,,
dimoksistrobin,Димоксистробин,,
dinitril-schavelevoy-kisloty,Динитрил щавелевой кислоты,,
dioksid-kremniya,Диоксид кремния,,
diterpenovye-spirty-i-uglevodorody,Дитерпеновые спирты и углеводороды,,
ditianon,Дитианон,,
difenokonazol,Дифеноконазол,,
difenonokonazol,Дифеноноконазол,,
diflovidazin,Дифловидазин,,
diflubenzuron,Дифлубензурон,,
diflufenzopir,Дифлуфензопир,,
diflyufenikan,Дифлюфеникан,,
dodin,Додин,,
doliholid,Долихолид,,
e-e-8-10-dodekadien-1-ol,"Е,е-8,10-додекадиен-1-ол",,
e-8-dodetsenil-atsetat,Е-8-додеценил ацетат,,
zeta-tsipermetrin,Зета-циперметрин,,
zoksamid,Зоксамид,,
izoksadifen-etil,Изоксадифен-этил,,
izoksadifen-etila,Изоксадифен-этила,,
izoksaflyutol,Изоксафлютол,,
izolyata-mg-l-pepino-mosaic-virus-shtamm-vc1,Изолята мг/л pepino mosaic virus штамм vc1,,
izolyata-mg-l-pepino-mosaic-virus-shtamm-vx1,Изолята мг/л pepino mosaic virus штамм vx1,,
izopirazam,Изопиразам,,
izoprotiolan,Изопротиолан,,
izoproturon,Изопротурон,,
imazalil,Имазалил,,
imazamoks,Имазамокс,,
imazapir,Имазапир,,
imazetapir,Имазетапир,,
imidakloprid,Имидаклоприд,,
indoksakarb,Индоксакарб,,
ipkonazol,Ипконазол,,
iprodion,Ипродион,,
ipflufenokvin,Ипфлуфеноквин,,
yod,Йод,,
yodosulfuron-metil-natriy,Йодосульфурон-метил-натрий,,
