regulation_id,reg_no,product,brand,use,norm,crop_raw,method,page
3364,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,C,"30-500 кг/га в год в зависимости от вида культуры, технологии выращивания, планируемого урожая, способа внесения, с учетом агрохимических показателей почвы",Все культуры,"Основное, припосевное внесение, подкормка",836
3365,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,30-40 г/м2,Все культуры (окультуренные почвы),"Внесение в почву весной при подготовке почвы (вспашка, перекопка, рыхление)",836
3366,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,40-50 г/м2,Все культуры (слабоокультуренные почвы),"Внесение в почву весной при подготовке почвы (вспашка, перекопка, рыхление)",836
3367,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,20-30 г/м2,"Овощные, цветочно-декоративные культуры, картофель",Внесение при посадке (посеве),836
3368,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,10-15 г/погонный метр,Земляника,Внесение при посадке,836
3369,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,40-50 г/м2 приствольного круга,Плодово-ягодные культуры (деревья),"Подкормка растений весной в начале возобновления вегетации и далее 1-2 раза с интервалом 15-20 дней (последняя подкормка - не позднее, чем за 2-3 недели до сбора урожая)",836
3370,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,20-30 г/м2,Ягодные культуры (кустарники),"Подкормка растений весной в начале возобновления вегетации и далее 1-2 раза с интервалом 15-20 дней (последняя подкормка - не позднее, чем за 2-3 недели до сбора урожая)",836
3371,321-15-9815-1,Cульфонитрат NS 30-7,NS 30-7,Л,2-3 г/л воды,Цветочно-декоративные культуры (горшечные растения),Подкормка растений в период активного роста с интервалом 10-15 дней. Расход рабочего раствора – до увлажнения земляного кома,836
40,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Успех,C,"1,5-2,5 л/га","Овощные, технические культуры",Некорневая подкормка растений в течение вегетационного периода 1-4 раза с интервалом 7-14 дней. Расход рабочего раствора -300-600 л/га,49
41,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Успех,C,"1,5-2,5 л/га","Плодово-ягодные культуры, виноград",Некорневая подкормка растений в течение вегетационного периода 1-4 раза с интервалом 7-14 дней. Расход рабочего раствора -600-1000 л/га,49
42,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,"0,2-1 л/т","Зерновые, зернобобовые, масличные, технические, кормовые культуры",Предпосевная обработка семян. Расход рабочего раствора - 10 л/т,49
43,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,"0,5-1,5 л/га","Зерновые, зернобобовые, масличные, технические, кормовые культуры",Некорневая подкормка растений в течение вегетационного периода 1-4 раза с интервалом 7-14 дней. Расход рабочего раствора -50-300 л/га,49
44,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,"0,5-1,5 л/га","Кукуруза (на зерно, на силос)",Некорневая подкормка растений в фазе 4-6 листьев и далее 2-3 раза с интервалом 7 дней. Расход рабочего раствора -50-300 л/га,49
45,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,"0,5-1,5 л/га",Травы многолетние (бобовые),Некорневая подкормка растений в фазе 6-7 листьев и в фазе бутонизации. Расход рабочего раствора -50-300 л/га,49
46,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,3-6 л/га,"Плодово-ягодные культуры, виноград",Корневая подкормка растений в начале возобновления вегетации весной и далее 1-2 раза с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,49
