reg_no,name,kind,use_product,registrant,ogrn,reg_date,reg_until,status,n_brands,brands
321-15-9815-1,Cульфонитрат NS 30-7,прочее,ЛС,АО «ОХК» «УРАЛХИМ»,1077761874024,05.03.2026,бессрочно,Действует,1,NS 30-7
113-10-3475-1,NPK Грин,комплексное NPK,ЛС,АО «АГРИМАТКО»,1027700272016,17.01.2022,16.01.2032,Действует,3,"Амко Грин 24-24-18+1,5 MgO | Амко Грин 12-61-0 | Амко Грин 5-0-60"
340-18-907-1,А (Гумат+7 Йод для корневой и некорневой подкормки всех видов культур и для замачивания),гумат,,ООО «АГРОТЕХ ГУМАТ»,,21.12.2015,20.12.2025,Не действует,15,Б1 (Гумэл-Люкс) | Б1 (Супер Гумат) | Б1 (Гумэл Ф-4) | Б1 (Гумэл-Люкс для цветов и плодово-ягодных культур) | Б2 (Гумэл-Люкс жидкий концентрат) | В1 (Гумат 80) | В1 (Гумат Байкал) | В2 (Гуматкалия жидкий концентрат) | В3 (Гумат Байкал Био жидкий концентрат) | Г (Ухажер) | Г (Гумат ГК) | С1 (Здоровый урожай) | С1 (Гумат +7) | С2 (Гумат +7 жидкий концентрат) | А (Гумат+7 Йод для корневой и некорневой подкормки всех видов культур и для замачивания)
371-21-3384-1,АДОБ,микроудобрение,C,Производственно – Консультационное Предприятие «АДОБ»,,31.01.2019,30.01.2029,Действует,9,АДОБ Mn | АДОБ Zn(II)ИДХА | АДОБ В | АДОБ Fe(III) ИДХА | АДОБ Cu(II)ИДХА | АДОБ Mo | АДОБ Микро Зерновые | АДОБ Микро Соя | АДОБ Микро Кукуруза
352-19-989-1,Агрибактер,биоудобрение,C,ООО НПК «Агрибактер»,1153668059841,04.03.2016,03.03.2026,Не действует,2,Агрибактер | Ризофикс
046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,микроудобрение,ЛС,"ООО ""ТЕХНОЭКСПОРТ""",1125042005175,22.05.2026,бессрочно,Действует,23,Успех | Микробаланс | Комплекс+S | Комплекс | 36 | Mn | Fe | Mo | B | Вегета | Форвард | Фантазия | Для декоративно-лиственных растений | Для кактусов и суккулентов | Для комнатных и балконных растений | Для пальм | Для фикусов | Для орхидей | Для цветущих растений | От пожелтения листьев | Для роз | Для комнатных и садовых гортензий | Для хвойных растений
046-10-3205-1,Агрикола универсальное комплексное удобрение,комплексное NPK,Л,АО «ТПК «Техноэкспорт»,1025005325070,21.07.2015,20.07.2025,Не действует,18,"1-для капустных культур | 2-для лука и чеснока | 3-для томата, перца, баклажана | 4-для корнеплодов | 5-для огурца, кабачка, патиссона, дыни | 6- длярассады овощных культур | 7-для комнатных, балконных, садовых цветочных культур | Для декоративно-листных растений | Для кактусов и суккулентов | Для комнатных и садовых роз | Для орхидей | Для пальм | Для фикусов | Для цветущих растений | Для комнатных растений | Для ягодных культур | Для хвойных растений | Для комнатных и садовых гортензий"
046-10-9667-1,"Агрикола универсальное комплексное удобрение для комнатных, балконных, садовых цветочных культур",комплексное NPK,Л,"ООО ""ТЕХНОЭКСПОРТ""",1125042005175,11.11.2025,11.11.2035,Действует,18,"для капустных культур | для лука и чеснока | для томата и перца | для корнеплодов | для огурца, кабачка, патиссона | для рассады овощных культур | для комнатных, балконных, садовых цветочных культур | для декоративно-лиственных растений | для кактусов и суккулентов | для комнатных и садовых роз | для пальм | для фикусов | для цветущих растений | для комнатных растений | для орхидей | для ягодных культур | для хвойных растений | для комнатных и садовых гортензий"
046-10-9756-1,Агрикола-XXI комплексное удобрение-палочки Универсальное цветочное,комплексное NPK,Л,"ООО ""ТЕХНОЭКСПОРТ""",1125042005175,15.01.2026,бессрочно,Действует,3,Универсальное цветочное | Для цветущих растений | Для декоративно-лиственных растений
046-13-2790-1,Агрикола-XXl комплексные удобрения-палочки,комплексное NPK,Л,АО «ТПК «Техноэкспорт»,1025005325070,29.07.2015,28.07.2025,Не действует,3,Универсальное цветочное | Для декоративно-листных | Для цветущих растений
