slug,name,name_gen,grp,parent_slug
abrikos-persik,абрикос / персик,,,
ayva,айва,,,
arbuz-dynya,арбуз / дыня,,,
baklazhan,баклажан,,,
vinograd,виноград,,,
vishnya-chereshnya,вишня / черешня,,,
gazon,газон,,,
goroh-fasol,горох / фасоль,,,
gortenziya,гортензия,,,
griby,"грибы (шампиньон, вешенка)",,,
grusha,груша,,,
ezhevika-golubika-zhimolost,ежевика / голубика / жимолость,,,
zelen,"зелень (укроп, петрушка, салат)",,,
zemli-neselhoznaznacheniya,земли несельхозназначения,,,
zernobobovye,"зернобобовые (нут, чечевица, люпин, бобы)",,,
zernovye,зерновые (прочие),,,
kabachok,кабачок,,,
kapusta,капуста,,,
kartofel,картофель,,,
klematis,клематис,,,
klubnika,клубника (земляника),,,
komnatnye-rasteniya,комнатные растения (общее),,,
geran,комнатные: герань,,,
dratsena,комнатные: драцена,,,
limon-tsitrusy,комнатные: лимон / цитрусы,,,
orhideya,комнатные: орхидея,,,
fialka,комнатные: фиалка,,,
fikus,комнатные: фикус,,,
kormovye-travy,кормовые травы,,,
krupyanye,"крупяные (гречиха, просо, сорго)",,,
kryzhovnik,крыжовник,,,
kukuruza,кукуруза,,,
len,лен,,,
lesnye-nasazhdeniya,лесные насаждения,,,
liliya-tyulpan-lukovichnye,лилия / тюльпан / луковичные,,,
luk,лук,,,
malina,малина,,,
maslichnye-i-tehnicheskie,масличные и технические,,,
morkov,морковь,,,
oblepiha,облепиха,,,
oves,овес,,,
ogorod,огород (общее),,,
ogurets,огурец,,,
oreh,"орех (грецкий, фундук)",,,
pary,пары,,,
pastbischa-i-luga,пастбища и луга,,,
perets,перец,,,
petuniya-odnoletniki,петуния / однолетники,,,
plodovye-derevya,плодовые деревья (общее),,,
pogreba-i-podvaly,погреба и подвалы,,,
podsolnechnik,подсолнечник,,,
pryanye-i-lekarstvennye-travy,пряные и лекарственные травы,,,
pshenitsa,пшеница,,,
raps,рапс,,,
redis,редис,,,
ris,рис,,,
rozh,рожь,,,
roza,роза,,,
ryabina,рябина,,,
sazhentsy-i-posadochnyy-material,саженцы и посадочный материал,,,
saharnaya-svekla,сахарная свекла,,,
svekla,свекла,,,
siren-dekorativnye-kustarniki,сирень / декоративные кустарники,,,
sklady-i-zernohranilischa,склады и зернохранилища,,,
sliva,слива,,,
smorodina,смородина,,,
soya,соя,,,
sparzha,спаржа,,,
tabak,табак (культура),,,
tomat,томат,,,
tykva,тыква,,,
uchastok,участок (муравейники),,,
hvoynye,"хвойные (туя, ель, можжевельник)",,,
hmel,хмель,,,
hosta-mnogoletniki,хоста / многолетники,,,
hrizantema,хризантема,,,
tsvety,цветы (общее),,,
chesnok,чеснок,,,
shipovnik,шиповник,,,
yablonya,яблоня,,,
yagodniki,ягодники (общее),,,
yachmen,ячмень,,,
