target_slug,target,kind,crop_slug,crop,product_slug,product,klass,reg_no,reg_until,norm_raw,dose_per_10l,method,wait_days,max_treatments,hazard_bees,page
alternarioz,альтернариоз,болезнь,grusha,груша,plantenol-neo,Плантенол Нео,фунгицид,021-02-4358-1,11.01.2034,3 г/ 10 лводы,3 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней (в зависимости от возраста и объема кроны),60,2,III,662
alternarioz,альтернариоз,болезнь,grusha,груша,skoryy,Скорый,фунгицид,126-02-3456-1,27.12.2031,"3,5 мл/10 лводы","3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,398
alternarioz,альтернариоз,болезнь,grusha,груша,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,6 мл/10 лводы,6 мл,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,663
alternarioz,альтернариоз,болезнь,grusha,груша,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,2 г/10 л воды,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,664
alternarioz,альтернариоз,болезнь,grusha,груша,horus,Хорус,фунгицид,041-02-4412-0,14.02.2027,2 г/10 лводы,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней.,28,2,III,665
alternarioz,альтернариоз,болезнь,grusha,груша,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"6,0 - мл/10 лводы",,Опрыскивание в период вегетации до и после цветения с интервалом не более 10-14 дней (в зависимости от возраста и объема кроны),21,3,III,461
alternarioz,альтернариоз,болезнь,kapusta,капуста,bisolbisan,БисолбиСан,фунгицид,174-02-4328-1,20.12.2033,20 мл/4 лводы,50 мл,"Опрыскивание по вегетации: первое через 10-14 дней после высадки рассады на постоянное место, последующее – через 2-3 недели",,2,III,310
alternarioz,альтернариоз,болезнь,kapusta,капуста,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,10-15 мл/3 лводы,"33,3–50 мл","Опрыскивание в период вегетации: первое - при появлении первых признаков болезни, последующие при необходимости с интервалом 7-12 дней.",21,3,III,388
alternarioz,альтернариоз,болезнь,kapusta,капуста,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,"Опрыскивание в период вегетации, последнее – за 10 дней до уборки урожая.",,4,III,297
alternarioz,альтернариоз,болезнь,kapusta,капуста,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/30 мл воды,,Обработка при закладке на хранение.,,1,III,297
alternarioz,альтернариоз,болезнь,kapusta,капуста,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,30 г/5-10 лводы,,Опрыскивание после высадки на постоянное место при появлении первых признаков одного из заболеваний.,,1,III,354
alternarioz,альтернариоз,болезнь,kapusta,капуста,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,30 г/5-10 лводы,,Опрыскивание после высадки на постоянное место при появлении первых признаков одного из заболеваний,,1,III,355
alternarioz,альтернариоз,болезнь,kapusta,капуста,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"5,0-7,0 мл/3 лводы","16,7–23,3 мл","Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезни, последующее через 10-14 дней",20,3,III,462
alternarioz,альтернариоз,болезнь,kartofel,картофель,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации,20,5,III,654
alternarioz,альтернариоз,болезнь,kartofel,картофель,albit,Альбит,фунгицид,081-02-2950-1,22.12.2030,1 мл/10 лводы,1 мл,"Опрыскивание в период вегетации в фазах смыкание рядков – бутонизация, последующее – через 10-15 дней",,2,III,436
alternarioz,альтернариоз,болезнь,kartofel,картофель,bakterra,Бактерра,фунгицид,008-02-2339-1,25.07.2029,20-30 г/10 лводы,20–30 г,Обработка клубней перед посадкой,,1,III,304
alternarioz,альтернариоз,болезнь,kartofel,картофель,bakterra,Бактерра,фунгицид,008-02-2339-1,25.07.2029,20-30 г/10 лводы,20–30 г,Обработка клубней перед посадкой,,1,III,304
alternarioz,альтернариоз,болезнь,kartofel,картофель,bisolbisan,БисолбиСан,фунгицид,174-02-4328-1,20.12.2033,20 мл/4 лводы,50 мл,"Опрыскивание в период вегетации: первое профилактическое, последующее через 10-15 дней",,2,III,310
alternarioz,альтернариоз,болезнь,kartofel,картофель,bordoskaya-smes-f,Бордоская смесь-Ф,фунгицид,149-02-4542-1,02.05.2034,100 г сульфатамеди +100 г кальция гидроксида/1 0 л воды,,Опрыскивание в период вегетации 1% рабочим раствором (последняя обработка не позднее фазы цветения),25,4,III,465
alternarioz,альтернариоз,болезнь,kartofel,картофель,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,4 мл/10 лводы,4 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующее – через 10-15 дней",10,2,III,396
alternarioz,альтернариоз,болезнь,kartofel,картофель,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,50 мл/4 лводы,125 мл,"Опрыскивание в период вегетации: первое профилактическое, последующие с интервалом 7-10 дней",20,3,III,470
alternarioz,альтернариоз,болезнь,kartofel,картофель,konsento-top,Консенто Топ,фунгицид,561-02-4379-1,23.01.2034,20 мл/5 лводы,40 мл,"Опрыскивание в период вегетации: первое - при появлении первых признаков болезней, последующие - с интервалом 7-10 дней",21,4,III,501
alternarioz,альтернариоз,болезнь,kartofel,картофель,ordan,Ордан,фунгицид,021-02-2610-1,18.03.2030,25 г/5 л воды,50 г,"Опрыскивание в период вегетации: первое – профилактическое до смыкания ботвы в рядках или не позднее двух суток после инфицирования растений, последующие с интервалом 7-14 дней",20,3,III,473
