regulation_id,crop_slug,crop,condition
1,kapusta,капуста,
1,raps,рапс,
2,yablonya,яблоня,
3,kartofel,картофель,
4,lesnye-nasazhdeniya,лесные насаждения,
5,lesnye-nasazhdeniya,лесные насаждения,
6,lesnye-nasazhdeniya,лесные насаждения,
6,hvoynye,"хвойные (туя, ель, можжевельник)",
7,lesnye-nasazhdeniya,лесные насаждения,
7,hvoynye,"хвойные (туя, ель, можжевельник)",
8,kapusta,капуста,
9,yablonya,яблоня,
10,kartofel,картофель,
11,soya,соя,
12,yablonya,яблоня,
13,yablonya,яблоня,
14,vinograd,виноград,
15,vinograd,виноград,
16,ogurets,огурец,защищённый грунт
17,ogurets,огурец,защищённый грунт
18,baklazhan,баклажан,защищённый грунт
18,perets,перец,защищённый грунт
18,tomat,томат,защищённый грунт
19,tsvety,цветы (общее),защищённый грунт
20,tsvety,цветы (общее),открытый грунт
21,komnatnye-rasteniya,комнатные растения (общее),защищённый грунт
22,sklady-i-zernohranilischa,склады и зернохранилища,
23,sklady-i-zernohranilischa,склады и зернохранилища,
24,sklady-i-zernohranilischa,склады и зернохранилища,
25,sklady-i-zernohranilischa,склады и зернохранилища,
26,sklady-i-zernohranilischa,склады и зернохранилища,
27,sklady-i-zernohranilischa,склады и зернохранилища,
27,soya,соя,
28,sklady-i-zernohranilischa,склады и зернохранилища,
29,sklady-i-zernohranilischa,склады и зернохранилища,
30,sklady-i-zernohranilischa,склады и зернохранилища,
31,sklady-i-zernohranilischa,склады и зернохранилища,
32,sklady-i-zernohranilischa,склады и зернохранилища,
33,sklady-i-zernohranilischa,склады и зернохранилища,
34,sklady-i-zernohranilischa,склады и зернохранилища,
35,sliva,слива,
35,yablonya,яблоня,
36,abrikos-persik,абрикос / персик,
36,ayva,айва,
36,vishnya-chereshnya,вишня / черешня,
36,grusha,груша,
37,limon-tsitrusy,комнатные: лимон / цитрусы,
38,kartofel,картофель,
38,perets,перец,
38,tomat,томат,
39,tomat,томат,
40,kapusta,капуста,
41,smorodina,смородина,
42,vinograd,виноград,
42,ezhevika-golubika-zhimolost,ежевика / голубика / жимолость,
42,klubnika,клубника (земляника),
42,kryzhovnik,крыжовник,
42,malina,малина,
43,tsvety,цветы (общее),
44,tabak,табак (культура),
45,sklady-i-zernohranilischa,склады и зернохранилища,
46,sklady-i-zernohranilischa,склады и зернохранилища,
47,sklady-i-zernohranilischa,склады и зернохранилища,
48,kukuruza,кукуруза,
49,saharnaya-svekla,сахарная свекла,
50,soya,соя,
51,soya,соя,
52,pastbischa-i-luga,пастбища и луга,
53,pastbischa-i-luga,пастбища и луга,
54,pastbischa-i-luga,пастбища и луга,
55,lesnye-nasazhdeniya,лесные насаждения,
55,hvoynye,"хвойные (туя, ель, можжевельник)",
56,lesnye-nasazhdeniya,лесные насаждения,
56,hvoynye,"хвойные (туя, ель, можжевельник)",
