regulation_id,target_slug,target,kind,latin
1,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
1,miniruyuschaya-mol,минирующая моль,вредитель,
2,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
3,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
4,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
4,shelkopryad,шелкопряд,вредитель,Ocneria dispar
5,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
5,shelkopryad,шелкопряд,вредитель,Ocneria dispar
6,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
6,shelkopryad,шелкопряд,вредитель,Ocneria dispar
7,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
7,shelkopryad,шелкопряд,вредитель,Ocneria dispar
8,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
8,miniruyuschaya-mol,минирующая моль,вредитель,
9,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
10,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
11,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
12,medyanitsa,медяница,вредитель,Psylla pyri L.
13,kleschi,клещи (общее),вредитель,
14,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
15,kleschi,клещи (общее),вредитель,
16,tripsy,трипсы,вредитель,
17,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
18,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
19,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
20,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
21,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
21,tripsy,трипсы,вредитель,
22,ambarnye-vrediteli,амбарные вредители,вредитель,
22,kleschi,клещи (общее),вредитель,
23,kleschi,клещи (общее),вредитель,
24,ambarnye-vrediteli,амбарные вредители,вредитель,
25,kleschi,клещи (общее),вредитель,
26,ambarnye-vrediteli,амбарные вредители,вредитель,
27,ambarnye-vrediteli,амбарные вредители,вредитель,
28,kleschi,клещи (общее),вредитель,
29,ambarnye-vrediteli,амбарные вредители,вредитель,
30,kleschi,клещи (общее),вредитель,
31,ambarnye-vrediteli,амбарные вредители,вредитель,
32,kleschi,клещи (общее),вредитель,
33,ambarnye-vrediteli,амбарные вредители,вредитель,
34,ambarnye-vrediteli,амбарные вредители,вредитель,
34,kleschi,клещи (общее),вредитель,
35,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
35,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
35,tripsy,трипсы,вредитель,
36,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
36,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
36,tripsy,трипсы,вредитель,
38,miniruyuschaya-mol,минирующая моль,вредитель,
39,miniruyuschaya-mol,минирующая моль,вредитель,
40,tripsy,трипсы,вредитель,
41,tripsy,трипсы,вредитель,
42,tripsy,трипсы,вредитель,
43,belokrylka,белокрылка,вредитель,
43,tripsy,трипсы,вредитель,
44,ognevka,огневка,вредитель,
45,vrediteli,вредители (общее),вредитель,
46,ambarnye-vrediteli,амбарные вредители,вредитель,
46,kleschi,клещи (общее),вредитель,
47,kleschi,клещи (общее),вредитель,
48,lugovoy-motylek,луговой мотылек,вредитель,
48,tlya,тля,вредитель,Aphis gossypii Glov.
49,dolgonosik,долгоносик,вредитель,
49,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
49,lugovoy-motylek,луговой мотылек,вредитель,
49,tlya,тля,вредитель,Aphis gossypii Glov.
50,ognevka,огневка,вредитель,
51,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
51,provolochnik,проволочник,вредитель,
51,sovka,совка,вредитель,
52,saranchovye,саранчовые,вредитель,
53,saranchovye,саранчовые,вредитель,
54,saranchovye,саранчовые,вредитель,
55,vrediteli,вредители (общее),вредитель,
56,vrediteli,вредители (общее),вредитель,
57,vrediteli,вредители (общее),вредитель,
58,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
58,sosuschie-vrediteli,сосущие вредители,вредитель,
59,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
59,sosuschie-vrediteli,сосущие вредители,вредитель,
60,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
60,sosuschie-vrediteli,сосущие вредители,вредитель,
61,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
62,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
62,skrytnohobotnik,скрытнохоботник,вредитель,
62,tsvetoed,цветоед,вредитель,
63,miniruyuschaya-mol,минирующая моль,вредитель,
64,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
65,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
65,skrytnohobotnik,скрытнохоботник,вредитель,
65,tsvetoed,цветоед,вредитель,
66,miniruyuschaya-mol,минирующая моль,вредитель,
67,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
68,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
69,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
70,sovka,совка,вредитель,
71,klop,клоп,вредитель,
71,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
71,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
71,sornyaki,сорняки (общее),сорняк,
71,tlya,тля,вредитель,Aphis gossypii Glov.
71,tripsy,трипсы,вредитель,
72,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
72,pyavitsa,пьявица,вредитель,Oulema melanopus
72,sornyaki,сорняки (общее),сорняк,
73,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
74,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
74,klop,клоп,вредитель,
74,tlya,тля,вредитель,Aphis gossypii Glov.
74,tsvetoed,цветоед,вредитель,
75,dolgonosik,долгоносик,вредитель,
76,ognevka,огневка,вредитель,
76,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
76,sovka,совка,вредитель,
77,dolgonosik,долгоносик,вредитель,
77,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
78,lugovoy-motylek,луговой мотылек,вредитель,
78,tlya,тля,вредитель,Aphis gossypii Glov.
79,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
80,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
80,sovka,совка,вредитель,
81,sovka,совка,вредитель,
82,miniruyuschaya-mol,минирующая моль,вредитель,
82,sovka,совка,вредитель,
83,miniruyuschaya-mol,минирующая моль,вредитель,
83,sovka,совка,вредитель,
84,dolgonosik,долгоносик,вредитель,
84,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
84,lugovoy-motylek,луговой мотылек,вредитель,
84,tlya,тля,вредитель,Aphis gossypii Glov.
85,lugovoy-motylek,луговой мотылек,вредитель,
85,sovka,совка,вредитель,
85,tlya,тля,вредитель,Aphis gossypii Glov.
86,tlya,тля,вредитель,Aphis gossypii Glov.
87,ambarnye-vrediteli,амбарные вредители,вредитель,
87,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
88,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
88,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
88,parsha,парша,болезнь,Venturia inaequalis (Cooke) G. Winter.
88,provolochnik,проволочник,вредитель,
88,rizoktonioz,ризоктониоз,болезнь,Thanatephorus cucumeris
89,klop,клоп,вредитель,
89,lugovoy-motylek,луговой мотылек,вредитель,
89,tlya,тля,вредитель,Aphis gossypii Glov.
90,saranchovye,саранчовые,вредитель,
91,saranchovye,саранчовые,вредитель,
92,tsvetoed,цветоед,вредитель,
93,tsvetoed,цветоед,вредитель,
94,dolgonosik,долгоносик,вредитель,
95,ambarnye-vrediteli,амбарные вредители,вредитель,
95,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
95,tlya,тля,вредитель,Aphis gossypii Glov.
96,ambarnye-vrediteli,амбарные вредители,вредитель,
96,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
96,tlya,тля,вредитель,Aphis gossypii Glov.
97,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
97,pyavitsa,пьявица,вредитель,Oulema melanopus
97,sornyaki,сорняки (общее),сорняк,
97,tlya,тля,вредитель,Aphis gossypii Glov.
97,tsikadki,цикадки,вредитель,
98,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
98,pyavitsa,пьявица,вредитель,Oulema melanopus
98,sornyaki,сорняки (общее),сорняк,
98,tlya,тля,вредитель,Aphis gossypii Glov.
98,tsikadki,цикадки,вредитель,
99,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
100,klop,клоп,вредитель,
100,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
100,pyavitsa,пьявица,вредитель,Oulema melanopus
100,sornyaki,сорняки (общее),сорняк,
100,tlya,тля,вредитель,Aphis gossypii Glov.
101,klop,клоп,вредитель,
101,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
101,pyavitsa,пьявица,вредитель,Oulema melanopus
101,sornyaki,сорняки (общее),сорняк,
101,tlya,тля,вредитель,Aphis gossypii Glov.
102,tripsy,трипсы,вредитель,
102,tsikadki,цикадки,вредитель,
103,tripsy,трипсы,вредитель,
103,tsikadki,цикадки,вредитель,
104,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
105,tsvetoed,цветоед,вредитель,
106,tsvetoed,цветоед,вредитель,
107,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
108,dolgonosik,долгоносик,вредитель,
