reg_no,name,slug,form,conc,klass,registrant,ogrn,hazard_human,hazard_bees,reg_date,reg_until,status,has_lph
063-03-2788-1,"2,4-Дактив",2-4-daktiv,КЭ,"564 г/л 2,4-Д (сложный 2-этилгексиловый эфир)",гербицид,ООО «ХИМАГРОМАРКЕТИН Г.РУ»,1023403447913,II,III,09.09.2020,08.09.2030,Действует,0
018-03-785-1,АРГО,argo,МЭ,80 г/л феноксапроп-П-этил + 24 г/л Клодинафоп-пропаргил + 30 г/л антидот мефенпир-диэтил,гербицид,АО «Щелково Агрохим»,1025006519427,II,III,29.09.2015,28.09.2025,Не действует,0
014-02-2929-1,Абакус Прайм,abakus-praym,СЭ,"85 г/л Пираклостробин + 62,5 г/л эпоксиконазол",фунгицид,«БАСФ СЕ»,,III,III,17.12.2020,16.12.2030,Действует,0
014-02-3672-1,Абакус Ультра,abakus-ultra,СЭ,"62,5 г/л Пираклостробин + 62,5 г/л эпоксиконазол",фунгицид,«БАСФ СЕ»,,III,III,29.04.2022,28.04.2032,Действует,0
407-02-1316-1,Абига-Пик,abiga-pik,ВС,400 г/л Хлорокись меди,фунгицид,ООО «Сельхозхимия»,1066164204930,III,III,26.12.2016,25.12.2026,Действует,1
010-03-9904-0,Абордаж,abordazh,КЭ,200 г/л флуроксипир + 10 г/л флорасулам,гербицид,"ООО ""ЛИСТЕРРА""",1057749556930,III,III,15.04.2026,14.04.2029,Действует,0
029-02-1475-1,Абруста,abrusta,КС,150 г/л Пентиопирад + 60 г/л Ципроконазол,фунгицид,ООО «Дюпон Наука и Технологии»,,III,III,24.04.2017,23.04.2027,Действует,0
082-02-4873-0,Аваксс,avakss,КЭ,250 г/л г/л Пропиконазол + 80 г/л г/л Ципроконазол,фунгицид,ООО «Интер Групп»,1084312000420,II,III,26.05.2025,25.05.2028,Действует,0
082-02-672-1,Аваксс,avakss,КЭ,80 г/л Ципроконазол + 250 г/л Пропиконазол,фунгицид,ООО «Интер Групп»,1084312000420,III,III,02.06.2015,27.02.2024,Не действует,0
063-03-1268-1,Авангард,avangard,КЭ,960 г/л С-Метолахлор,гербицид,ООО «ХИМАГРОМАРКЕТИН Г.РУ»,1023403447913,III,III,02.11.2016,01.11.2026,Действует,0
489-01-2706-1,Авант,avant,КЭ,150 г/л Индоксакарб,инсектицид,ООО «ЭфЭмСи»,1037706002773,III,I,19.06.2020,18.06.2030,Действует,1
192-03-3443-1,Авантикс 100,avantiks-100,КЭ,100 г/л феноксапроп-П-этил + 27 г/л антидот -клоквинтосет-мексил,гербицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,III,23.12.2021,22.12.2031,Действует,0
192-03-3010-1,Авантикс Турбо,avantiks-turbo,МД,"100 г/л феноксапроп-П-этил + 34 г/л антидот -клоквинтосет-мексил + 17,5 г/л флукарбазон",гербицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,III,09.02.2021,08.02.2031,Действует,0
