reg_no,product,ingredient_slug,ingredient,conc_value,conc_unit
063-03-2788-1,"2,4-Дактив",2-4-d,"2,4-Д",564.0,г/л
018-03-785-1,АРГО,klodinafop-propargil,Клодинафоп-пропаргил,24.0,г/л
018-03-785-1,АРГО,mefenpir-dietil,Мефенпир-диэтил,30.0,г/л
018-03-785-1,АРГО,fenoksaprop-p-etil,Феноксапроп-п-этил,80.0,г/л
014-02-2929-1,Абакус Прайм,piraklostrobin,Пираклостробин,85.0,г/л
014-02-2929-1,Абакус Прайм,epoksikonazol,Эпоксиконазол,62.5,г/л
014-02-3672-1,Абакус Ультра,piraklostrobin,Пираклостробин,62.5,г/л
014-02-3672-1,Абакус Ультра,epoksikonazol,Эпоксиконазол,62.5,г/л
407-02-1316-1,Абига-Пик,medi-hlorokis,Меди хлорокись,400.0,г/л
010-03-9904-0,Абордаж,florasulam,Флорасулам,10.0,г/л
010-03-9904-0,Абордаж,fluroksipir,Флуроксипир,200.0,г/л
029-02-1475-1,Абруста,pentiopirad,Пентиопирад,150.0,г/л
029-02-1475-1,Абруста,tsiprokonazol,Ципроконазол,60.0,г/л
082-02-4873-0,Аваксс,g-l-propikonazol,Г/л пропиконазол,250.0,г/л
082-02-4873-0,Аваксс,g-l-tsiprokonazol,Г/л ципроконазол,80.0,г/л
082-02-672-1,Аваксс,propikonazol,Пропиконазол,250.0,г/л
082-02-672-1,Аваксс,tsiprokonazol,Ципроконазол,80.0,г/л
063-03-1268-1,Авангард,s-metolahlor,С-метолахлор,960.0,г/л
489-01-2706-1,Авант,indoksakarb,Индоксакарб,150.0,г/л
192-03-3443-1,Авантикс 100,klokvintoset-meksil,Клоквинтосет-мексил,27.0,г/л
192-03-3443-1,Авантикс 100,fenoksaprop-p-etil,Феноксапроп-п-этил,100.0,г/л
192-03-3010-1,Авантикс Турбо,klokvintoset-meksil,Клоквинтосет-мексил,34.0,г/л
192-03-3010-1,Авантикс Турбо,fenoksaprop-p-etil,Феноксапроп-п-этил,100.0,г/л
192-03-3010-1,Авантикс Турбо,flukarbazon,Флукарбазон,17.5,г/л
038(010)-03-2940-1,Авантикс Экстра,klokvintoset-meksil,Клоквинтосет-мексил,34.5,г/л
038(010)-03-2940-1,Авантикс Экстра,fenoksaprop-p-etil,Феноксапроп-п-этил,69.0,г/л
010-02-10060-0,Авантюрин,fludioksonil,Флудиоксонил,500.0,г/кг
010-02-3575-1,Авиаль,tebukonazol,Тебуконазол,125.0,г/л
010-02-3575-1,Авиаль,triadimefon,Триадимефон,100.0,г/л
018-02-10033-1,Авиньон,ditianon,Дитианон,350.0,г/л
050(360)-03-4455-1,Аврора,amikarbazon,Амикарбазон,80.0,г/л
050(360)-03-4455-1,Аврора,aminopiralid,Аминопиралид,5.0,г/л
050(360)-03-4455-1,Аврора,mezotrion,Мезотрион,100.0,г/л
050(360)-03-4455-1,Аврора,nikosulfuron,Никосульфурон,60.0,г/л
050-03-4562-1,Аврорекс,2-4-d,"2,4-Д",332.0,г/л
050-03-4562-1,Аврорекс,karfentrazon-etil,Карфентразон-этил,21.0,г/л
471-07-1781-1,Агат-25 Супер,3-indoliluksusnaya-kislota,3-индолилуксусная кислота,18.0,мг/кг
471-07-1781-1,Агат-25 Супер,alanin-2,Аланин,60.0,мг/кг
471-07-1781-1,Агат-25 Супер,glutaminovaya-kislota-2,Глутаминовая кислота,70.0,мг/кг
192-01-4742-1,Агент Пауер,atsetamiprid,Ацетамиприд,320.0,г/л
192-01-3892-1,Агент Супер,atsetamiprid,Ацетамиприд,200.0,г/л
192-01-3892-1,Агент Супер,fipronil,Фипронил,100.0,г/л
024-03-2107-1,Агритокс,mtspa,МЦПА,500.0,г/л
010(011)-03-1562-1,Агро-Лайт,imazamoks,Имазамокс,33.0,г/л
010-03-9705-0,Агро-Лайт,imazamoks,Имазамокс,33.0,г/л
010(011)-03-1562-1,Агро-Лайт,imazapir,Имазапир,15.0,г/л
010-03-9705-0,Агро-Лайт,imazapir,Имазапир,15.0,г/л
010-03-5084-0,"Агро-Лайт, ВК",imazamoks,Имазамокс,33.0,г/л
010-03-5084-0,"Агро-Лайт, ВК",imazapir,Имазапир,15.0,г/л
197-03-3347-1,АгроБазон,bentazon,Бентазон,480.0,г/л
197-03-4311-1,АгроЗаряд,propizohlor,Пропизохлор,312.5,г/л
197-03-4311-1,АгроЗаряд,terbutilazin,Тербутилазин,187.5,г/л
197-02-4752-0,АгроКлимат,difenokonazol,Дифеноконазол,250.0,г/л
197-02-9906-0,АгроМим,dimetomorf,Диметоморф,90.0,г/кг
197-02-9906-0,АгроМим,mankotseb,Манкоцеб,600.0,г/кг
002-07-472-1,АгроСтимул,digidrokvertsetin,Дигидрокверцетин,50.0,г/л
002-07-4818-0,"АгроСтимул, ВЭ",digidrokvertsetin,Дигидрокверцетин,50.0,г/л
197-02-4740-1,АгроШлем,tsiprodinil,Ципродинил,750.0,г/кг
024-03-1052-1,Агроксон,mtspa,МЦПА,750.0,г/л
178-03-2214-1,Агрон,klopiralid,Клопиралид,300.0,г/л
178-03-2215-1,Агрон Гранд,klopiralid,Клопиралид,750.0,г/кг
197-03-1369-1,Агроника,nikosulfuron,Никосульфурон,40.0,г/л
