slug,name,kind,latin,parent_slug
alternarioz,альтернариоз,болезнь,Alternaria solani Sorauer.,
ambarnye-vrediteli,амбарные вредители,вредитель,,
ambroziya,амброзия,сорняк,,
antraknoz,антракноз,болезнь,Colletotrichum lagenarium (Pass.) Ell. et Halst.,
askohitoz,аскохитоз,болезнь,Ascochyta sojaecola,
bakterioz,бактериоз,болезнь,Xanthomonas campestris pv. cucurbitae (Bryan) Dye,
belokrylka,белокрылка,вредитель,,
borschevik,борщевик,сорняк,,
buraya-rzhavchina,бурая ржавчина,болезнь,,
vershinnaya-gnil,вершинная гниль,болезнь,,
virusnye-bolezni,вирусные болезни,болезнь,,
vrediteli,вредители (общее),вредитель,,
vyunok,вьюнок,сорняк,,
gallitsa,галлица,вредитель,Contarinia pyrivora Riley,
gelmintosporioz,гельминтоспориоз,болезнь,,
gnili-pri-hranenii,гнили при хранении,болезнь,,
gnil,гниль (общее),болезнь,,
golovnya,головня,болезнь,,
gribnye-moshki,грибные мошки (сциариды),вредитель,,
gryzuny,грызуны,вредитель,,
gusenitsy,гусеницы,вредитель,Mamestra brassicae L.,
desikatsiya,десикация,регулятор,,
dolgonosik,долгоносик,вредитель,,
zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,,
zhuki,жуки (общее),вредитель,,
zaraziha,заразиха,сорняк,,
kapustnaya-muha,капустная муха,вредитель,,
karmashki-sliv,кармашки слив,болезнь,,
kartofelnaya-korovka,картофельная коровка,вредитель,,
kladosporioz,кладоспориоз,болезнь,Cladosporium fulvum Cooke,
kleschi,клещи (общее),вредитель,,
klop,клоп,вредитель,,
klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,,
klyasterosporioz,клястероспориоз (дырчатая пятнистость),болезнь,,
kokkomikoz,коккомикоз,болезнь,,
koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata,
kompleks-bolezney,комплекс болезней,болезнь,,
kompleks-vrediteley,комплекс вредителей,вредитель,,
kornevaya-gnil,корневая гниль,болезнь,,
kornevye-gnili,корневые гнили,болезнь,"Fusarium spp. Lk : Fr, Rhizoctonia spp. DC.",
korneed,корнеед,болезнь,,
krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F.",
kroty,кроты,вредитель,Talpa europaea,
kurchavost-listev,курчавость листьев,болезнь,Taphrina deformans (Berk.) Tul.,
listovertka,листовертка,вредитель,Pandemis ribeana Hbn.,
listogryzuschie-vrediteli,листогрызущие вредители,вредитель,,
lugovoy-motylek,луговой мотылек,вредитель,,
lukovaya-muha,луковая муха,вредитель,Delia antiqua (Meigen),
medvedka,медведка,вредитель,,
medyanitsa,медяница,вредитель,Psylla pyri L.,
mildyu,милдью,болезнь,,
miniruyuschaya-mol,минирующая моль,вредитель,,
mozaika,мозаика (вирус),болезнь,Cucumber mosaic virus (necrotic strain),
monilioz,монилиоз (ожог),болезнь,Monilia fructigena (Pers.) Pers.,
morkovnaya-muha,морковная муха,вредитель,Psila rosae,
moh,мох,сорняк,,
muravi,муравьи,вредитель,,
muchnistaya-rosa,мучнистая роса,болезнь,Erysiphe cichoracearum Dc. f. cucurbitacearum Poteb.,
muchnistyy-chervets,мучнистый червец,вредитель,Parthenolecanium corni Bouche.,
myshi-i-gryzuny,мыши и грызуны,вредитель,,
nematoda,нематода,вредитель,,
oblepihovaya-muha,облепиховая муха,вредитель,,
ognevka,огневка,вредитель,,
oduvanchik,одуванчик,сорняк,,
oidium,оидиум,болезнь,,
osot,осот,сорняк,,
parsha,парша,болезнь,Venturia inaequalis (Cooke) G. Winter.,
